Dataset,Input Length,Data Quality,Model,AUROC
MIMIC3,90s,HighQual,Baseline,0.982384
MIMIC3,90s,HighQual,DI,0.9819200000000001
MIMIC3,90s,HighQual,DI_D,0.9827840000000001
MIMIC3,90s,HighQual,DI_A,0.9832000000000001
MIMIC3,90s,HighQual,HIVAE,0.983136
MIMIC3,90s,HighQual,GPVAE,0.9830720000000001
MIMIC3,90s,HighQual,SNM,0.984896
MIMIC3,90s,HighQual,BDC,0.983168
MIMIC3,90s,LowQual,Baseline,0.9353954081632653
MIMIC3,90s,LowQual,DI,0.9816454081632653
MIMIC3,90s,LowQual,DI_D,0.9783673469387756
MIMIC3,90s,LowQual,DI_A,0.988890306122449
MIMIC3,90s,LowQual,HIVAE,0.95125
MIMIC3,90s,LowQual,GPVAE,0.9441071428571428
MIMIC3,90s,LowQual,SNM,0.9872193877551019
MIMIC3,90s,LowQual,BDC,0.9430867346938776
